trial_id,learning_rate,batch_size,weight_decay,recommended_epochs,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,is_best
1,3e-05,8,0.01,25,0.7337016757922681,0.01425072957702742,0.6909930036096772,0.01242154705513638,False
2,3e-05,8,0.05,23,0.7337182677949228,0.014843433699286222,0.692593006478948,0.02105953793016129,False
3,5e-05,8,0.01,24,0.7386062717770034,0.01740496618088615,0.692238102747819,0.01578927232196105,True
4,5e-05,8,0.05,21,0.7369802555168409,0.021969476667233895,0.6923346414631918,0.021415771802850245,False
5,0.0001,8,0.01,20,0.7288269454123113,0.004139132381582306,0.6764896174229932,0.008583779256308577,False
6,0.0001,8,0.05,22,0.7280073004811681,0.011454376486759087,0.6775699702551601,0.01038945499495033,False
7,3e-05,16,0.01,25,0.7133598805375808,0.014836744304399688,0.6659346966035226,0.018337710802652202,False
8,3e-05,16,0.05,27,0.7003417952546872,0.016505680876155556,0.654313796850855,0.028574328402744518,False
9,5e-05,16,0.01,24,0.7255915048946407,0.026328511863528935,0.6813264687350751,0.02976769509844587,False
10,5e-05,16,0.05,26,0.7231226148996184,0.016942336265009423,0.6709545962793815,0.025413070218494496,False
11,0.0001,16,0.01,22,0.7320889331342293,0.017853303255351803,0.6863799698434995,0.023230987743397248,False
12,0.0001,16,0.05,21,0.7239488966318235,0.013335349162954466,0.6781568464823506,0.01916098474764372,False
